year,name,xc,yc,a,b,color
1,Merkur,-0.055185135880877464,-0.05775001813696673,0.3823375391094497,0.3809221249993724,#aaaaaa
1,Venus,0.0012739413909689159,-0.0054892018241685225,0.7223877298336603,0.7229963804384913,#f5deb3
1,Erde,-0.006362802438644682,-0.016290217793570833,0.9998601866553627,0.9999820530911536,#1f77b4
1,Mars,-0.06841399497948095,0.12151438316212887,1.518583011583301,1.521592296182963,#ff6347
1,Jupiter,-0.22597645678227646,0.07140578925178666,5.200403341653014,5.197808018987442,#d2b48c
1,Saturn,-0.3371756270265624,-0.47751582127659536,9.5165210044441,9.536833556678877,#f0e68c
1,Uranus,0.7172153575741798,-0.4979305536870356,19.188474816935262,19.17425064795702,#add8e6
1,Neptun,-0.24213753116883827,-0.10631119538418728,30.04548510734975,30.05922638868071,#4169e1
2,Merkur,-0.05516859007130906,-0.05777131843335943,0.3823343006602349,0.3809235268504816,#aaaaaa
2,Venus,0.0012711174426483758,-0.0054667755165530305,0.7224001453990496,0.7230083888641894,#f5deb3
2,Erde,-0.006340005796463631,-0.01631960311136174,0.9998605211627278,0.9999743655905695,#1f77b4
2,Mars,-0.06843529805863041,0.1215582179703986,1.518609505557226,1.5215207756445888,#ff6347
2,Jupiter,-0.22578520755342035,0.07150199257199785,5.2001670062702905,5.197828570056102,#d2b48c
2,Saturn,-0.3371987120219722,-0.4776823619448506,9.516592785572897,9.536591987604286,#f0e68c
2,Uranus,0.7176658613838486,-0.49790593751678563,19.18915735423945,19.174020180923893,#add8e6
2,Neptun,-0.24215123123110419,-0.1063254331131767,30.0454941516056,30.059236950581557,#4169e1
3,Merkur,-0.05515198017225373,-0.05778733430878924,0.38233214742258204,0.3809252163903716,#aaaaaa
3,Venus,0.0012505263450265623,-0.00545217072443529,0.7223940651141143,0.7229941681348651,#f5deb3
3,Erde,-0.006319012143114674,-0.016346355778985168,0.9998776656192083,0.9999734205948061,#1f77b4
3,Mars,-0.06842952172589861,0.12157813993150857,1.5186059439665067,1.52153539048747,#ff6347
3,Jupiter,-0.22571820878708226,0.0715908481400384,5.200139716107741,5.197745060308974,#d2b48c
3,Saturn,-0.337209699791139,-0.4776171173761056,9.516564701042771,9.536686028050719,#f0e68c
3,Uranus,0.7181620652216701,-0.4978414085528104,19.18990079212417,19.17377872836497,#add8e6
3,Neptun,-0.24216767103209957,-0.10634596742532423,30.045501532843588,30.05925578384528,#4169e1
4,Merkur,-0.05513541127963597,-0.05779841249078102,0.38232964138406933,0.3809276484362707,#aaaaaa
4,Venus,0.0012952335391377536,-0.005466575754922923,0.7223879870170284,0.7229898648793771,#f5deb3
4,Erde,-0.006322649277059471,-0.016335361575769494,0.9998741168774581,0.9999778135954802,#1f77b4
4,Mars,-0.06849636004120434,0.12151606315153887,1.5186083020030536,1.521608202009479,#ff6347
4,Jupiter,-0.2257144036831558,0.07146368924420525,5.200080553200948,5.197932562914787,#d2b48c
4,Saturn,-0.33730007676791923,-0.47734881399587664,9.516488885566968,9.537044216603476,#f0e68c
4,Uranus,0.7186911281081493,-0.49773140984523384,19.190676981904346,19.173544974597576,#add8e6
4,Neptun,-0.24219032465846302,-0.1063775762630612,30.045508339184096,30.059287663376104,#4169e1
5,Merkur,-0.05511839887124802,-0.05780861346261635,0.38232750148689876,0.38093096692931616,#aaaaaa
5,Venus,0.0012964909377114037,-0.005455331724169479,0.722387539348283,0.722996730590054,#f5deb3
5,Erde,-0.006297757273670258,-0.0163075226681494,0.999847691025578,0.999987689888197,#1f77b4
5,Mars,-0.06856148047301996,0.12150471479312519,1.5185272864614943,1.5216295375654085,#ff6347
5,Jupiter,-0.22552187753060055,0.0711168479231256,5.200084440227336,5.198337690864393,#d2b48c
5,Saturn,-0.33751413342096376,-0.4769805698581018,9.516505145927217,9.537453626642797,#f0e68c
5,Uranus,0.7192316874628347,-0.4975754633680591,19.19144547648074,19.173341303502546,#add8e6
5,Neptun,-0.24221880063797654,-0.10642037418881295,30.045514126185576,30.059333107082878,#4169e1
6,Merkur,-0.05510350104553083,-0.057823934843073604,0.38232481355864767,0.38093384049064594,#aaaaaa
6,Venus,0.0012598420143072255,-0.005476836657475433,0.7223911036954145,0.7229999209686571,#f5deb3
6,Erde,-0.00627987288831573,-0.0162937263153791,0.9998561049204522,0.999988612856676,#1f77b4
6,Mars,-0.0684824227282215,0.12148752571246281,1.5185435588108818,1.5216439803879487,#ff6347
6,Jupiter,-0.2250328317809156,0.07083249880892613,5.200633252461266,5.198370434288922,#d2b48c
6,Saturn,-0.3378007639074961,-0.4766612595468802,9.516688527601472,9.537701045740805,#f0e68c
6,Uranus,0.7197654269922132,-0.49737662150093775,19.192172563052726,19.17318592031673,#add8e6
6,Neptun,-0.24225224065171178,-0.10647442124756593,30.04551729156452,30.059393233197152,#4169e1
7,Merkur,-0.05509111317711801,-0.05784250635522795,0.38232082298310566,0.3809363810603066,#aaaaaa
7,Venus,0.0012890020499826248,-0.005455127916373003,0.7223856597491938,0.7230107014357636,#f5deb3
7,Erde,-0.006299148798435554,-0.01631536056312254,0.9998725131368811,0.9999828432988991,#1f77b4
7,Mars,-0.06855726408761237,0.12149751787107703,1.5186251921779204,1.5216165470216483,#ff6347
7,Jupiter,-0.22449057957791613,0.07083007924207854,5.201419862122219,5.198133101600167,#d2b48c
7,Saturn,-0.33802354871692303,-0.47649558818248156,9.516915714332859,9.537753690144033,#f0e68c
7,Uranus,0.7202754660828058,-0.4971414030748255,19.19282991079342,19.173091951838426,#add8e6
7,Neptun,-0.24228693616976726,-0.10653321525972193,30.045518267907493,30.059460233877687,#4169e1
8,Merkur,-0.05507522652210558,-0.05785769846769319,0.38231903005305234,0.3809419557825078,#aaaaaa
8,Venus,0.001282748557026755,-0.005435587859746388,0.7223898849156387,0.7229912991594278,#f5deb3
8,Erde,-0.006309999445099217,-0.016311958614333107,0.999879450583824,0.9999752999003764,#1f77b4
8,Mars,-0.06865243101959673,0.12159538040822385,1.5185749355291578,1.5215144575694879,#ff6347
8,Jupiter,-0.22420863223349774,0.07098248443041114,5.20174495985837,5.198133039851374,#d2b48c
8,Saturn,-0.3380475267520368,-0.4764749469777876,9.516939077726787,9.537760695446345,#f0e68c
8,Uranus,0.7207542366168728,-0.4968754586872363,19.193404964103888,19.173065520587247,#add8e6
8,Neptun,-0.24231739582646789,-0.1065874626034782,30.04551668155319,30.059523760615317,#4169e1
9,Merkur,-0.055056705409363395,-0.05787122176701395,0.38231778833001817,0.3809433824548274,#aaaaaa
9,Venus,0.0012861372487507463,-0.005479241716382869,0.7223905728654489,0.722994293828068,#f5deb3
9,Erde,-0.006312810408798638,-0.016287442985059575,0.9998752026719917,0.9999723259318707,#1f77b4
9,Mars,-0.06871750299837762,0.1215888555939761,1.5186677802803525,1.5214984152993711,#ff6347
9,Jupiter,-0.22419547010909513,0.07097502540920814,5.2017690564203365,5.198108596324167,#d2b48c
9,Saturn,-0.3377945654238308,-0.47650772561222665,9.51656149214078,9.537882409920078,#f0e68c
9,Uranus,0.7211977911131151,-0.4965842567327864,19.19389248431781,19.173108555541063,#add8e6
9,Neptun,-0.2423396524902656,-0.10662730035779625,30.0455151517998,30.05957058657364,#4169e1
10,Merkur,-0.05504135242111513,-0.057883466430446964,0.3823173951756831,0.3809457363665716,#aaaaaa
10,Venus,0.001281243938925654,-0.005453545614366963,0.7223992959161656,0.723009747456719,#f5deb3
10,Erde,-0.006300469245816916,-0.0163081332010238,0.9998634957363159,0.9999757975417214,#1f77b4
10,Mars,-0.0688611059659575,0.12148028941577473,1.5185326987283925,1.5216096013421359,#ff6347
10,Jupiter,-0.22416896216398446,0.07068169538422198,5.20190416851131,5.197677169605182,#d2b48c
10,Saturn,-0.33725032179132886,-0.4764729828765566,9.515741398334933,9.538159675711968,#f0e68c
10,Uranus,0.72161087303703,-0.49626765884929497,19.194298502613897,19.173221939063183,#add8e6
10,Neptun,-0.24235139883723533,-0.10664518470616874,30.045516474362504,30.059590209565517,#4169e1
11,Merkur,-0.055029717973336174,-0.05789476239888725,0.38231322430654213,0.3809466212836474,#aaaaaa
11,Venus,0.0012571166847807926,-0.005438589650341967,0.7223883317112747,0.7229977727308485,#f5deb3
11,Erde,-0.006299093809856009,-0.016335205780165944,0.9998664080545536,0.9999862585706676,#1f77b4
11,Mars,-0.06887694086265375,0.12144831497604414,1.5185431350377816,1.5215813866206096,#ff6347
11,Jupiter,-0.2239174724716347,0.07029068403242505,5.201861605573182,5.197258673014859,#d2b48c
11,Saturn,-0.33645288487907976,-0.47625634414563806,9.514605483116855,9.538481333914373,#f0e68c
11,Uranus,0.7219978291546184,-0.4959236543635089,19.194627913009107,19.17340826269478,#add8e6
11,Neptun,-0.24235348952732028,-0.10664004683163535,30.04552245821638,30.059580141782178,#4169e1
12,Merkur,-0.055015085723155686,-0.057909787857625614,0.38230917610853,0.3809497697021671,#aaaaaa
12,Venus,0.0012970076903471013,-0.0054549204225595995,0.722382967699555,0.7229942634285977,#f5deb3
12,Erde,-0.00632006588317211,-0.016334526973828298,0.9998610435072237,0.9999887445942335,#1f77b4
12,Mars,-0.06886620567242419,0.1213370331397643,1.5185448191610047,1.5216489866640104,#ff6347
12,Jupiter,-0.2235328609592322,0.07007288877580843,5.201411648846796,5.197267550874407,#d2b48c
12,Saturn,-0.33548275310565717,-0.475770350525023,9.513405788640016,9.538620959032146,#f0e68c
12,Uranus,0.7223627662976778,-0.49554810724000503,19.194884068285873,19.17367269835958,#add8e6
12,Neptun,-0.24234870738725522,-0.10661572975121758,30.045533648182904,30.05954439192148,#4169e1
13,Merkur,-0.055001272097148876,-0.057929892351621916,0.382304648093146,0.3809512390135803,#aaaaaa
13,Venus,0.0012961598822382396,-0.005448128263063203,0.7223850953923419,0.7229977935844389,#f5deb3
13,Erde,-0.006295210362971526,-0.016333877647453997,0.9998447863045945,0.9999840273843847,#1f77b4
13,Mars,-0.06889925831362825,0.12133950946354478,1.5186088178812942,1.5215935033840902,#ff6347
13,Jupiter,-0.2232931409906601,0.07006546992305257,5.201052937443695,5.197384002348273,#d2b48c
13,Saturn,-0.33446532078354807,-0.4749802664295004,9.512449840221144,9.538323672658002,#f0e68c
13,Uranus,0.7227053601448024,-0.4951396323154194,19.195066263541943,19.174019479093644,#add8e6
13,Neptun,-0.2423400555036321,-0.10657851286378797,30.04554915584235,30.059490819631723,#4169e1
14,Merkur,-0.05498713807718559,-0.05794896413171711,0.3823005275139082,0.3809537860586152,#aaaaaa
14,Venus,0.0012600154542714024,-0.005473429453046366,0.7223929305005707,0.7229989911798465,#f5deb3
14,Erde,-0.0062643024990903145,-0.016342319534116998,0.9998641727091371,0.999972916160784,#1f77b4
14,Mars,-0.06889673576780539,0.12134136014194932,1.5186361289923829,1.521537004318759,#ff6347
14,Jupiter,-0.22333413344509045,0.07002530079493968,5.201084322252061,5.19740852236223,#d2b48c
14,Saturn,-0.33353911730744407,-0.4739163385589696,9.511967711750101,9.537431345698515,#f0e68c
14,Uranus,0.7230260473341683,-0.49469477132607775,19.19517440115815,19.1744546267881,#add8e6
14,Neptun,-0.2423304379767019,-0.10653785823222257,30.045565665478403,30.05943259788517,#4169e1
15,Merkur,-0.054968612514187935,-0.057962945933861906,0.3822988696797258,0.380957445427603,#aaaaaa
15,Venus,0.0012956197390815286,-0.005456742669367722,0.7223866739167837,0.7230075757809031,#f5deb3
15,Erde,-0.006258257459846273,-0.01636595453714827,0.9998792225266604,0.999969721083694,#1f77b4
15,Mars,-0.06894654736177538,0.12126255862341706,1.5186883114409953,1.5215585812921386,#ff6347
15,Jupiter,-0.2234851009939511,0.0697389727480875,5.201071144152454,5.197744620398483,#d2b48c
15,Saturn,-0.33283751513553256,-0.4726932858268972,9.512017116290771,9.535998733730208,#f0e68c
15,Uranus,0.7233218176761284,-0.49421317755129146,19.195207489363604,19.174980916449822,#add8e6
15,Neptun,-0.24232252721521563,-0.10650299511175193,30.04558014759232,30.05938240335497,#4169e1
16,Merkur,-0.05494861023421521,-0.057972750089699515,0.38229815612828855,0.3809613434014745,#aaaaaa
